test,genotype,cross,plant_no,plot,year,loc,mg,fc,pb,md,yield,seed_weight,gs_gl,ht,det,ldg,ag_score,oil_dry_basis,protein_dry_basis
Plant Rows,N21-0010,Mx17-02,32,RM21-0010,2021,CLA,<5.3,P,G,284,573.2,15.7,,,I,,,23.31,40.86
Plant Rows,N21-0015,Mx17-02,47,RM21-0015,2021,CLA,<5.3,P,G,278,460.3,14.7,,,I,,,24.3,41.94
Plant Rows,N21-0025,Mx17-02,110,RM21-0025,2021,CLA,<5.3,P,G,279,523.4,12.8,,,S,,,20.58,47.69
Plant Rows,N21-0027,Mx17-02,125,RM21-0027,2021,CLA,<5.3,P,,279,581,14.3,,,D,,,24.19,41.3
Plant Rows,N21-0030,Mx17-02,130,RM21-0030,2021,CLA,<5.3,W,,281,558.6,11.2,,,D,,,21.33,46.49
Plant Rows,N21-0034,Mx17-02,142,RM21-0034,2021,CLA,<5.3,S,,282,571,15.9,,,D,,,23.64,42.85
Plant Rows,N21-0054,Mx17-05,24,RM21-0054,2021,CLA,<5.3,P,G,279,1350.7,15.9,,,D,,,23.81,42.52
Plant Rows,N21-0071,Mx17-06,27,RM21-0071,2021,CLA,<5.3,P,T,282,922.6,13.5,,,D,,,22.86,43.7
Plant Rows,N21-0072,Mx17-06,28,RM21-0072,2021,CLA,<5.3,P,T,282,651.4,13.6,,,D,,,23.27,43.26
Plant Rows,N21-0084,Mx17-06,45,RM21-0084,2021,CLA,<5.3,P,T,279,767.4,12.7,,,D,,,22.91,43.5
Plant Rows,N21-0097,Mx17-06,73,RM21-0097,2021,CLA,<5.3,P,T,283,598.1,13.7,,,D,,,21.72,46.31
Plant Rows,N21-0104,Mx17-07,5,RM21-0104,2021,CLA,<5.3,P,T,283,472.7,11.6,,,D,,,21.45,45.15
Plant Rows,N21-0108,Mx17-07,10,RM21-0108,2021,CLA,<5.3,P,T,282,505.7,12.8,,,D,,,22.89,43.49
Plant Rows,N21-0109,Mx17-07,11,RM21-0109,2021,CLA,<5.3,P,T,283,730.8,15.4,,,D,,,22.26,44.3
Plant Rows,N21-0115,Mx17-07,20,RM21-0115,2021,CLA,<5.3,W,G,279,219.1,11.2,,,D,,,22.92,42.5
Plant Rows,N21-0130,Mx17-07,51,RM21-0130,2021,CLA,<5.3,W,T,285,382.2,11.8,,,D,,,23.64,42.5
Plant Rows,N21-0138,Mx17-07,66,RM21-0138,2021,CLA,<5.3,P,T,285,749.4,14.3,,,D,,,22.22,43.24
Plant Rows,N21-0163,Mx17-08,27,RM21-0163,2021,CLA,<5.3,P,T,283,766,13.3,,,,,,21.69,45.68
Plant Rows,N21-0201,Mx17-09,44,RM21-0201,2021,CLA,<5.3,W,S,286,608,12.8,,,S,,3,23.1,43.08
Plant Rows,N21-0202,Mx17-09,46,RM21-0202,2021,CLA,<5.3,P,T,280,489.8,12.1,,,S,,3.5,22.8,43.32
Plant Rows,N21-0203,Mx17-09,48,RM21-0203,2021,CLA,<5.3,W,T,280,411.8,13.8,,,I,,3.5,22.94,43.93
Plant Rows,N21-0204,Mx17-09,52,RM21-0204,2021,CLA,<5.3,P,G,281,824.4,13.4,,,D,,3,22.45,44.38
Plant Rows,N21-0206,Mx17-09,60,RM21-0206,2021,CLA,<5.3,P,T,283,886.9,14.2,,,D,,3,22.77,43.63
Plant Rows,N21-0207,Mx17-09,62,RM21-0207,2021,CLA,<5.3,W,G,285,898.9,12.6,,,S,,3,20.85,44.53
Plant Rows,N21-0208,Mx17-09,64,RM21-0208,2021,CLA,<5.3,P,T,284,894.9,14,,,I,,3,24.23,42.02
Plant Rows,N21-0209,Mx17-09,68,RM21-0209,2021,CLA,<5.3,P,T,284,961.4,15.3,,,I,,3,22.66,42.03
Plant Rows,N21-0210,Mx17-09,69,RM21-0210,2021,CLA,<5.3,P,T,284,1164.8,16.2,,,S,,3.5,22.36,44.69
Plant Rows,N21-0211,Mx17-09,74,RM21-0211,2021,CLA,<5.3,P,G,284,982.3,15.9,,,I,,3,22.73,43.69
Plant Rows,N21-0212,Mx17-09,75,RM21-0212,2021,CLA,<5.3,P,T,283,1174,13.7,,,I,,2.5,23.47,42.67
Plant Rows,N21-0213,Mx17-11,27,RM21-0213,2021,CLA,<5.3,W,G,286,1110.8,15.7,,,I,,2.5,20.68,45.67
Plant Rows,N21-0214,Mx17-11,43,RM21-0214,2021,CLA,<5.3,P,G,286,1109.4,15,,,I,,2.5,21.32,45.21
Plant Rows,N21-0215,Mx17-11,44,RM21-0215,2021,CLA,<5.3,W,G,286,1024.5,11,,,D,,2.5,21.37,43.91
Plant Rows,N21-0216,Mx17-11,50,RM21-0216,2021,CLA,<5.3,P,G,285,1625.1,11.7,,,S,,x,20.85,42.7
Plant Rows,N21-0217,Mx17-11,60,RM21-0217,2021,CLA,<5.3,W,G,284,987.5,14,,,I,,2.5,20.85,44.32
Plant Rows,N21-0218,Mx17-12,3,RM21-0218,2021,CLA,<5.3,P,T,282,1095,13.7,,,I,,2.5,22.72,42.69
Plant Rows,N21-0219,Mx17-12,4,RM21-0219,2021,CLA,<5.3,W,G,284,876,14.2,,,D,,3,21.03,45.61
Plant Rows,N21-0220,Mx17-12,5,RM21-0220,2021,CLA,<5.3,P,G,284,860.9,15.8,,,D,,3,21.53,44.86
Plant Rows,N21-0221,Mx17-12,24,RM21-0221,2021,CLA,<5.3,W,T,286,1101.2,13.6,,,D,,3,22.53,44.37
Plant Rows,N21-0222,Mx17-12,33,RM21-0222,2021,CLA,<5.3,W,T,284,1036.7,17,,,S,,x,23.46,42.81
Plant Rows,N21-0223,Mx17-15,1,RM21-0223,2021,CLA,<5.3,P,G,284,1259.8,17.3,,,D,,3,22.92,44.21
Plant Rows,N21-0224,Mx17-15,2,RM21-0224,2021,CLA,<5.3,W,G,286,1730.6,17.3,,,D,,3,22.64,42.3
Plant Rows,N21-0225,Mx17-15,3,RM21-0225,2021,CLA,<5.3,S,S,286,798.3,15.4,,,D,,x,22.09,44.37
Plant Rows,N21-0227,Mx17-15,6,RM21-0227,2021,CLA,<5.3,P,G,299,910.4,16.2,,,D,,2,22.69,43.68
Plant Rows,N21-0228,Mx17-15,7,RM21-0228,2021,CLA,<5.3,W,G,282,663.1,12.8,,,D,,3,22.17,43.42
Plant Rows,N21-0229,Mx17-15,10,RM21-0229,2021,CLA,<5.3,W,G,286,966.2,16.7,,,D,,2,21.84,45.38
Plant Rows,N21-0230,Mx17-16,3,RM21-0230,2021,CLA,<5.3,W,T,284,731.9,15.4,,,D,,3,23.54,42.77
Plant Rows,N21-0231,Mx17-16,4,RM21-0231,2021,CLA,<5.3,P,T,284,389.9,14.9,,,D,,3,24.02,41.87
Plant Rows,N21-0232,Mx17-16,8,RM21-0232,2021,CLA,<5.3,P,T,284,1186.4,13.8,,,I,,2.5,23.75,43.04
Plant Rows,N21-0233,Mx17-19,25,RM21-0233,2021,CLA,<5.3,W,G,283,1481,14.1,,,I,,3,24.03,41.36
Plant Rows,N21-0234,Mx17-21,1,RM21-0234,2021,CLA,<5.3,P,T,284,1150.3,16.2,,,I,,2.5,21.94,45.54
Plant Rows,N21-0235,Mx17-21,2,RM21-0235,2021,CLA,<5.3,P,T,284,899,14.4,,,D,,2,22.77,45.09
Plant Rows,N21-0237,Mx17-21,6,RM21-0237,2021,CLA,<5.3,P,T,285,978.6,15.3,,,D,,3,21.91,44.56
Plant Rows,N21-0238,Mx17-21,8,RM21-0238,2021,CLA,<5.3,W,T,285,939,16.2,,,I,,2.5,22.64,45.2
Plant Rows,N21-0239,Mx17-21,9,RM21-0239,2021,CLA,<5.3,W,T,284,774.9,15.3,,,S,,x,22.01,45.3
Plant Rows,N21-0240,Mx17-21,11,RM21-0240,2021,CLA,<5.3,P,T,284,679.8,12.7,,,I,,1.5,21.41,45.7
Plant Rows,N21-0241,Mx17-21,12,RM21-0241,2021,CLA,<5.3,W,T,285,1505.6,15.6,,,I,,3.5,22.18,44.17
Plant Rows,N21-0242,Mx17-21,13,RM21-0242,2021,CLA,<5.3,P,T,284,1050.9,14.1,,,I,,3,21.62,45.38
Plant Rows,N21-0243,Mx17-21,14,RM21-0243,2021,CLA,<5.3,P,T,285,1341.1,16.8,,,I,,3.5,22.86,44.36
Plant Rows,N21-0244,Mx17-22,18,RM21-0244,2021,CLA,<5.3,P,T,287,1503.4,14.5,,,I,,2,25.06,39.32
Plant Rows,N21-0245,Mx17-22,24,RM21-0245,2021,CLA,<5.3,P,T,285,1133.5,14.4,,,I,,2,24.41,41.82
Plant Rows,N21-0246,Mx17-23,75,RM21-0246,2021,CLA,<5.3,P,G,286,1298.2,14.3,,,S,,x,22.19,41.01
Plant Rows,N21-0247,Mx17-25,1,RM21-0247,2021,CLA,<5.3,W,T,286,1002.9,15.2,,,S,,x,22.88,42.99
Plant Rows,N21-0248,Mx17-25,3,RM21-0248,2021,CLA,<5.3,P,G,282,1335.6,14.3,,,D,,3.5,22.14,43.22
Plant Rows,N21-0250,Mx17-25,6,RM21-0250,2021,CLA,<5.3,P,T,283,1195.1,15.8,,,D,,3,21.66,43.79
Plant Rows,N21-0251,Mx17-25,9,RM21-0251,2021,CLA,<5.3,S,S,283,796.7,14.1,,,S,,4,23.27,42.06
Plant Rows,N21-0252,Mx17-25,12,RM21-0252,2021,CLA,<5.3,W,G,286,1345.2,15.7,,,D,,3,22.57,44.05
Plant Rows,N21-0253,Mx17-25,14,RM21-0253,2021,CLA,<5.3,W,T,284,824.5,15.6,,,D,,4,21.65,45.59
Plant Rows,N21-0255,Mx17-25,19,RM21-0255,2021,CLA,<5.3,P,G,287,958.5,16.1,,,D,,4,22.36,45.69
Plant Rows,N21-0258,Mx17-25,28,RM21-0258,2021,CLA,<5.3,P,G,286,1198.6,16.2,,,I,,3,22.72,43.67
Plant Rows,N21-0259,Mx17-25,47,RM21-0259,2021,CLA,<5.3,P,G,285,823.4,15.7,,,I,,4,22.88,43.19
Plant Rows,N21-0260,Mx17-25,54,RM21-0260,2021,CLA,<5.3,P,T,284,709,13,,,D,,3,22.12,44.63
Plant Rows,N21-0261,Mx17-27,1,RM21-0261,2021,CLA,<5.3,P,G,286,1549,17.2,,,I,,2.5,23.11,42.98
Plant Rows,N21-0262,Mx17-27,6,RM21-0262,2021,CLA,<5.3,W,G,284,1438,17.1,,,S,,x,23.44,43.14
Plant Rows,N21-0263,Mx17-27,11,RM21-0263,2021,CLA,<5.3,W,G,284,1211.2,16.2,,,S,,x,23.14,41.92
Plant Rows,N21-0264,Mx17-27,12,RM21-0264,2021,CLA,<5.3,P,G,283,1061.8,15.2,,,I,,3,22.48,43.23
Plant Rows,N21-0265,Mx17-27,14,RM21-0265,2021,CLA,<5.3,P,G,284,1373.9,15.5,,,I,,2.5,23.54,40.58
Plant Rows,N21-0266,Mx17-27,15,RM21-0266,2021,CLA,<5.3,W,G,284,938.2,14.4,,,I,,2.5,23.46,41.44
Plant Rows,N21-0267,Mx17-27,17,RM21-0267,2021,CLA,<5.3,P,G,284,806.4,14.9,,,S,,x,22.31,41.98
Plant Rows,N21-0268,Mx17-27,22,RM21-0268,2021,CLA,<5.3,P,G,283,1458.8,15.2,,,I,,3,23.01,40.41
Plant Rows,N21-0269,Mx17-27,35,RM21-0269,2021,CLA,<5.3,W,G,285,1356.7,11.8,,,I,,3.5,21.65,41.32
